"","row_names","Offspring_ID","Loci_typed","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"1",1,"UHA-0126",9,0.00015,9.32e-06,"UHA-0010",9,9,1,2.94,"UHA-0266",9,9,2,-2.49,0,"",9,2,2.41,2.22,"+"
"2",2,"UHA-0127",8,0.00125,0.000888,"UHA-0010",9,8,1,0.873,"UHA-0259",9,8,1,3.06,1.16,"-",8,2,4.25,3.33,"+"
"3",3,"UHA-0135",9,0.00139,0.000108,"UHA-0010",9,9,1,2.53,"UHA-0257",9,9,0,5.6,5.6,"*",9,1,9.89,9.89,"*"
"5",5,"UHA-0169",9,0.00174,9.43e-07,"UHA-0013",9,9,0,4.36,"UHA-0269",9,9,0,11.1,6.08,"*",9,0,14.5,14.5,"*"
"6",6,"UHA-0058",9,0.000474,6.97e-06,"UHA-0260",9,9,0,8.56,"UHA-0351",9,9,0,8.79,8.79,"*",9,0,12.2,12.2,"*"
"7",7,"UHA-0020",9,2.2e-05,1.86e-07,"UHA-0261",9,9,1,3.06,"UHA-0260",9,9,0,15,15,"*",9,1,17,17,"*"
"8",8,"UHA-0023",8,0.00207,0.000431,"UHA-0261",9,8,1,0.543,"UHA-0260",9,8,0,9.76,8.68,"*",8,1,9.91,9.91,"*"
"9",9,"UHA-0025",9,4.04e-05,9.06e-07,"UHA-0261",9,9,0,11.4,"UHA-0258",9,9,1,5.26,5.26,"*",9,1,8.28,8.28,"*"
"10",10,"UHA-0026",9,0.00136,6.3e-05,"UHA-0261",9,9,0,10.8,"UHA-0351",9,9,1,3.88,3.88,"+",9,1,5.13,5.13,"*"
"11",11,"UHA-0027",9,0.000497,9.45e-06,"UHA-0261",9,9,0,9.29,"UHA-0257",9,9,0,7.2,7.2,"*",9,0,11.5,11.5,"*"
"12",12,"UHA-0028",9,0.000881,0.000133,"UHA-0261",9,9,1,4.24,"UHA-0257",9,9,0,5.59,5.59,"*",9,1,9.82,9.82,"*"
"13",13,"UHA-0099",9,0.000283,2.06e-05,"UHA-0257",9,9,0,9.3,"UHA-0258",9,9,0,8.78,8.78,"*",9,0,11.4,11.4,"*"
"14",14,"UHA-0029",9,0.000547,0.000223,"UHA-0261",9,9,1,3.32,"UHA-0257",9,9,0,6.35,6.35,"*",9,1,9.58,9.58,"*"
"15",15,"UHA-0043",8,0.00177,0.000116,"UHA-0260",9,8,0,5.99,"UHA-0261",9,8,1,0.884,0.884,"-",8,1,2.21,2.21,"+"
"16",16,"UHA-0045",9,0.000516,2.92e-05,"UHA-0260",9,9,0,10,"UHA-0351",9,9,1,2.34,2.34,"+",9,1,4.64,4.64,"*"
"17",17,"UHA-0047",9,0.00186,7.05e-05,"UHA-0260",9,9,0,9.52,"UHA-0351",9,9,1,0.842,0.842,"-",9,1,3.2,3.2,"+"
"18",18,"UHA-0050",9,0.000145,2.01e-06,"UHA-0260",9,9,1,2.26,"UHA-0261",9,9,0,14.2,14.2,"*",9,1,15.8,15.8,"*"
"19",19,"UHA-0052",9,0.000592,1.42e-07,"UHA-0260",9,9,0,8.37,"UHA-0351",9,9,1,2.1,2.1,"+",9,2,1.1,1.1,"+"
"20",20,"UHA-0056",8,0.0017,6.68e-05,"UHA-0260",9,8,1,0.515,"UHA-0258",9,8,0,8.25,7.21,"*",8,1,10.4,10.4,"*"
"21",21,"UHA-0068",9,0.00203,7.25e-05,"UHA-0014",9,9,0,6.84,"UHA-0351",9,9,0,4.11,0,"",9,1,2.81,0.0482,"-"
"22",22,"UHA-0070",9,0.00316,0.000546,"UHA-0014",9,9,0,9.45,"UHA-0262",9,9,0,10.5,1.21,"-",9,0,10.4,0.678,"+"
"23",23,"UHA-0071",9,0.000733,1.53e-05,"UHA-0014",9,9,0,7.15,"UHA-0266",9,9,1,3.4,0.423,"-",9,1,5.22,5.22,"*"
"24",24,"UHA-0075",8,0.00364,0.000197,"UHA-0014",9,8,0,6.38,"UHA-0351",9,8,0,5.33,4.36,"*",8,0,8.37,8.09,"*"
"25",25,"UHA-0077",9,0.00155,0.000103,"UHA-0014",9,9,0,8.75,"UHA-0224",9,9,1,1.14,0,"",9,1,3.6,1.27,"+"
"26",26,"UHA-0079",9,4.37e-05,4.37e-05,"UHA-0014",9,9,0,10.6,"UHA-0267",9,9,0,10.3,0.688,"-",9,0,10.6,0.69,"+"
"27",27,"UHA-0080",9,0.00014,9.36e-07,"UHA-0014",9,9,0,7.83,"UHA-0265",9,9,0,11.4,2.89,"+",9,0,14.1,13.4,"*"
"28",28,"UHA-0081",9,0.00193,0.000815,"UHA-0014",9,9,0,10.2,"UHA-0013",9,9,0,8.33,0,"",9,0,8.56,0.689,"+"
"29",29,"UHA-0093",8,0.00161,0.000175,"UHA-0015",9,8,0,6.4,"UHA-0265",9,8,0,7.45,0.379,"-",8,0,8.64,5,"*"
"30",30,"UHA-0094",9,0.000566,7.48e-06,"UHA-0015",9,9,0,8.79,"UHA-0266",9,9,1,3.42,2.42,"+",9,1,6.48,6.48,"*"
"31",31,"UHA-0095",9,0.000532,5.74e-06,"UHA-0015",9,9,0,6.43,"UHA-0266",9,9,0,9.23,2.11,"+",9,0,12.6,12.6,"*"
"32",32,"UHA-0096",7,0.00954,0.000323,"UHA-0015",9,7,0,3.45,"UHA-0266",9,7,0,5.34,1.69,"+",7,0,7.32,7.32,"*"
"33",33,"UHA-0097",8,0.000962,0.000331,"UHA-0015",9,8,1,2.5,"UHA-0266",9,8,0,8.04,3.75,"+",8,1,9.85,8.72,"*"
"35",35,"UHA-0101",9,0.0014,1.19e-05,"UHA-0257",9,9,0,6.54,"UHA-0260",9,9,0,7.42,7.42,"*",9,0,11.2,11.2,"*"
"36",36,"UHA-0105",9,0.000238,1.02e-05,"UHA-0257",9,9,0,10.4,"UHA-0258",9,9,1,3.51,3.51,"+",9,1,5.59,5.59,"*"
"37",37,"UHA-0109",9,0.000508,6.05e-07,"UHA-0257",9,9,0,6.55,"UHA-0261",9,9,0,10.1,10.1,"*",9,0,14.6,14.6,"*"
"41",41,"UHA-0021",9,4.32e-05,1.99e-06,"UHA-0261",9,9,1,4,"UHA-0260",9,9,0,13.8,13.8,"*",9,1,15.1,15.1,"*"
"42",42,"UHA-0022",9,0.000151,1.43e-05,"UHA-0261",9,9,0,9.98,"UHA-0257",9,9,1,0.936,0.936,"-",9,1,3.49,3.49,"*"
"43",43,"UHA-0048",9,0.00131,4.44e-05,"UHA-0260",9,9,0,7.27,"UHA-0257",9,9,0,6.4,6.4,"*",9,0,9.82,9.82,"*"
"44",44,"UHA-0049",9,0.000894,2.37e-05,"UHA-0260",9,9,1,4.81,"UHA-0257",9,9,0,7.78,7.34,"*",9,1,11.5,11.5,"*"
"45",45,"UHA-0053",9,0.000501,1.92e-06,"UHA-0260",9,9,0,6.48,"UHA-0351",9,9,0,9.73,9.73,"*",9,0,13.2,13.2,"*"
"46",46,"UHA-0054",9,0.000543,1.18e-05,"UHA-0260",9,9,0,9.05,"UHA-0351",9,9,1,3.56,3.56,"+",9,1,5.61,5.61,"*"
"48",48,"UHA-0069",9,0.00282,9.36e-06,"UHA-0014",9,9,0,5.22,"UHA-0266",9,9,1,4.36,0,"",9,1,5.8,5.8,"*"
"49",49,"UHA-0072",9,0.00203,2.41e-05,"UHA-0014",9,9,0,6.21,"UHA-0266",9,9,0,7.71,5.84,"*",9,0,11,11,"*"
"50",50,"UHA-0073",9,0.000726,7.02e-05,"UHA-0014",9,9,0,9.41,"UHA-0267",9,9,0,10.5,1.13,"-",9,1,5.77,0.936,"+"
"51",51,"UHA-0074",9,0.0031,4.5e-06,"UHA-0014",9,9,0,3.69,"UHA-0257",9,9,0,7.52,2.67,"+",9,1,6.23,6.23,"*"
"52",52,"UHA-0076",9,0.00131,2.79e-05,"UHA-0014",9,9,0,6.83,"UHA-0266",9,9,0,8.54,2.09,"+",9,0,10.8,10.8,"*"
"53",53,"UHA-0100",9,0.00012,9.23e-07,"UHA-0257",9,9,0,7.8,"UHA-0258",9,9,0,10.9,10.9,"*",9,1,8.81,8.81,"*"
"54",54,"UHA-0102",9,0.000223,1.01e-06,"UHA-0257",9,9,0,7.74,"UHA-0351",9,9,0,10.8,10.8,"*",9,0,14.2,14.2,"*"
"55",55,"UHA-0106",9,0.00103,4.29e-05,"UHA-0257",9,9,0,7.72,"UHA-0260",9,9,0,5.78,5.62,"*",9,0,9.93,6.74,"*"
"57",57,"UHA-0036",9,0.000311,6.83e-05,"UHA-0261",9,9,1,3.09,"UHA-0257",9,9,0,7.11,7.11,"*",9,1,10.6,10.6,"*"
"58",58,"UHA-0037",9,0.000548,0.000281,"UHA-0261",9,9,1,2.7,"UHA-0257",9,9,0,6.03,4.35,"*",9,1,8.83,7.06,"*"
"59",59,"UHA-0038",9,0.000966,0.000624,"UHA-0261",9,9,1,4.65,"UHA-0351",9,9,0,8.41,8.41,"*",9,1,9.21,5.41,"*"
"60",60,"UHA-0089",9,0.000147,3.09e-06,"UHA-0014",9,9,0,8.51,"UHA-0266",9,9,1,4.23,0,"",9,1,6.71,6.71,"*"
"61",61,"UHA-0040",9,0.00304,0.00134,"UHA-0261",9,9,1,4.47,"UHA-0351",9,9,0,6.89,5.01,"*",9,1,8.38,8.38,"*"
"62",62,"UHA-0041",9,0.000125,6.1e-08,"UHA-0261",9,9,0,9.27,"UHA-0260",9,9,1,8.47,8.47,"*",9,1,10.9,10.9,"*"
"63",63,"UHA-0090",9,0.00142,4.35e-06,"UHA-0014",9,9,0,5.3,"UHA-0266",9,9,0,9.76,3.35,"+",9,0,12.9,12.9,"*"
"64",64,"UHA-0059",9,0.000308,9.66e-05,"UHA-0260",9,9,1,6.65,"UHA-0257",9,9,0,7.1,7.1,"*",9,1,10,10,"*"
"66",66,"UHA-0082",9,0.0016,0.000133,"UHA-0014",9,9,0,7.88,"UHA-0009",9,9,0,6.13,0,"",9,1,3.75,0.679,"+"
"67",67,"UHA-0083",9,0.000581,1.06e-05,"UHA-0014",9,9,0,8.19,"UHA-0266",9,9,1,3.53,0,"",9,1,5.74,5.74,"*"
"68",68,"UHA-0084",9,0.000584,5.79e-06,"UHA-0014",9,9,0,6.86,"UHA-0266",9,9,0,9.5,7.72,"*",9,0,12.5,12.5,"*"
"69",69,"UHA-0085",9,0.000402,1.56e-05,"UHA-0014",9,9,0,9.19,"UHA-0266",9,9,0,7.88,4.47,"*",9,0,11.1,11.1,"*"
"70",70,"UHA-0086",9,0.000293,9.24e-06,"UHA-0014",9,9,0,9.19,"UHA-0266",9,9,0,8.46,5.04,"*",9,0,11.7,11.7,"*"
"71",71,"UHA-0087",9,3.17e-05,0.000324,"UHA-0014",9,9,1,5.97,"UHA-0262",9,9,0,12.2,6.02,"*",9,1,11.2,6.5,"*"
"73",73,"UHA-0091",9,0.000482,8.43e-06,"UHA-0014",9,9,0,7.2,"UHA-0266",9,9,1,3.64,1.22,"-",9,1,5.67,5.67,"*"
"74",74,"UHA-0113",9,0.00123,0.000148,"UHA-0257",9,9,0,8.59,"UHA-0260",9,9,0,5.18,5.18,"*",9,0,8.52,8.52,"*"
"75",75,"UHA-0114",9,0.000252,1.1e-07,"UHA-0257",9,9,0,7.57,"UHA-0260",9,9,1,7.1,7.1,"*",9,1,10.4,10.4,"*"
"76",76,"UHA-0115",9,0.000777,3e-05,"UHA-0351",9,9,0,7.77,"UHA-0258",9,9,1,3.47,1.76,"+",9,1,5.38,5.38,"*"
"77",77,"UHA-0116",9,0.000184,6.42e-07,"UHA-0351",9,9,0,8.26,"UHA-0260",9,9,0,10.7,10.7,"*",9,0,14.6,14.6,"*"
"78",78,"UHA-0118",9,0.000234,1.98e-06,"UHA-0351",9,9,0,9.11,"UHA-0261",9,9,0,11.6,11.6,"*",9,0,14,14,"*"
"79",79,"UHA-0119",9,0.000553,2.32e-05,"UHA-0351",9,9,0,8.35,"UHA-0257",9,9,0,9.44,9.44,"*",9,0,11.2,11.2,"*"
"80",80,"UHA-0120",9,0.000112,2.96e-06,"UHA-0351",9,9,0,9.56,"UHA-0257",9,9,0,9.69,9.69,"*",9,0,12.7,12.7,"*"
"81",81,"UHA-0121",9,0.000161,1.91e-05,"UHA-0351",9,9,0,11.2,"UHA-0257",9,9,0,7.94,7.94,"*",9,0,10.7,10.7,"*"
"82",82,"UHA-0122",9,0.000518,6.15e-05,"UHA-0351",9,9,0,11.4,"UHA-0257",9,9,0,7.53,7.53,"*",9,0,10.1,10.1,"*"
"83",83,"UHA-0123",9,0.000368,0.000545,"UHA-0010",9,9,1,2.85,"UHA-0259",9,9,1,3.36,0.78,"-",9,2,4.5,3.36,"*"
"84",84,"UHA-0124",8,0.00552,0.000434,"UHA-0010",9,8,0,5.33,"UHA-0259",9,8,1,0.776,0,"",8,1,2.61,1.88,"+"
"87",87,"UHA-0129",8,0.00581,8.99e-05,"UHA-0010",9,8,0,5.46,"UHA-0259",9,8,1,0.617,0,"",8,1,4.13,3.86,"*"
"88",88,"UHA-0130",9,0.000574,0.000275,"UHA-0010",9,9,1,2.83,"UHA-0259",9,9,1,3.34,1.14,"-",9,2,5.44,5.44,"*"
"91",91,"UHA-0133",9,0.00439,0.000915,"UHA-0010",9,9,0,9.24,"UHA-0015",9,9,0,4.81,0,"",9,0,7.07,0.0026,"-"
"92",92,"UHA-0134",9,0.000462,6.06e-05,"UHA-0010",9,9,1,2.56,"UHA-0259",9,9,0,8.69,1.49,"+",9,1,10.7,10.7,"*"
"93",93,"UHA-0136",9,0.000728,8.99e-05,"UHA-0010",9,9,1,1.55,"UHA-0259",9,9,1,3.43,0.855,"-",9,2,6.32,6.32,"*"
"94",94,"UHA-0137",9,0.00092,0.000371,"UHA-0010",9,9,1,1.87,"UHA-0259",9,9,1,3.12,0,"",9,2,5.18,2.88,"+"
"95",95,"UHA-0138",9,0.000439,1.93e-06,"UHA-0010",9,9,1,2.24,"UHA-0345",9,9,0,9.17,5.27,"*",9,2,6.08,5.33,"*"
"96",96,"UHA-0139",9,0.00015,1.15e-05,"UHA-0010",9,9,0,9.19,"UHA-0260",9,9,0,9.34,9.34,"*",9,0,11.3,11.3,"*"
"98",98,"UHA-0141",9,0.00167,3.52e-05,"UHA-0010",9,9,0,8.07,"UHA-0257",9,9,0,5.37,0.82,"-",9,0,9.84,9.84,"*"
"99",99,"UHA-0143",9,0.000361,8.99e-05,"UHA-0010",9,9,1,3.04,"UHA-0259",9,9,1,3.05,3.05,"+",9,2,6.32,6.32,"*"
"100",100,"UHA-0144",9,0.000657,1.12e-05,"UHA-0010",9,9,0,7.59,"UHA-0259",9,9,1,2.08,0,"",9,1,4.58,2.31,"+"
"101",101,"UHA-0146",8,0.000683,5.13e-05,"UHA-0010",9,8,0,8.42,"UHA-0015",9,8,1,1.09,0,"",8,1,1.85,0.0196,"-"
"102",102,"UHA-0147",9,0.000596,3.17e-06,"UHA-0010",9,9,0,6.92,"UHA-0259",9,9,0,9.19,7.66,"*",9,0,13.3,13.3,"*"
"103",103,"UHA-0150",9,0.000449,3.62e-06,"UHA-0012",9,9,0,8.33,"UHA-0266",9,9,0,10.1,10.1,"*",9,0,13.1,13.1,"*"
"104",104,"UHA-0162",8,0.00189,5.26e-05,"UHA-0012",9,8,0,6.67,"UHA-0177",8,8,0,8.51,6.14,"*",8,0,11.7,7.84,"*"
"106",106,"UHA-0164",8,0.00198,0.000282,"UHA-0016",8,7,0,8.1,"UHA-0264",9,8,0,10.6,0.554,"-",8,1,4.26,0.654,"+"
"107",107,"UHA-0165",9,0.000729,0.000465,"UHA-0016",8,8,1,0.672,"UHA-0266",9,9,1,2.99,0,"",9,2,2.87,2.87,"+"
"108",108,"UHA-0167",8,0.00226,6.01e-06,"UHA-0013",9,8,0,5.78,"UHA-0260",9,8,1,4.04,0,"",8,1,5.14,5.14,"*"
"110",110,"UHA-0151",9,0.000491,8.11e-05,"UHA-0012",9,9,0,11.5,"UHA-0351",9,9,0,6.3,6.3,"*",9,0,9.26,9.26,"*"
"111",111,"UHA-0152",9,0.000881,1.93e-06,"UHA-0012",9,9,0,7.16,"UHA-0260",9,9,1,4.96,0,"",9,1,8.79,8.79,"*"
"112",112,"UHA-0153",9,8.91e-05,3.83e-07,"UHA-0012",9,9,0,10.7,"UHA-0260",9,9,1,2.94,2.94,"+",9,1,6.36,6.36,"*"
"114",114,"UHA-0155",9,0.000532,3.31e-06,"UHA-0012",9,9,0,8.86,"UHA-0257",9,9,0,7.62,7.62,"*",9,0,12.5,12.5,"*"
"116",116,"UHA-0157",9,0.000358,9.81e-06,"UHA-0012",9,9,0,9.21,"UHA-0258",9,9,1,2.72,2.72,"+",9,1,5.68,5.68,"*"
"118",118,"UHA-0159",9,0.000592,0.00014,"UHA-0012",9,9,1,2.2,"UHA-0260",9,9,0,7.08,7.08,"*",9,1,9.47,8.21,"*"
"119",119,"UHA-0160",9,0.000315,5.15e-06,"UHA-0012",9,9,0,10.8,"UHA-0257",9,9,0,7.13,7.13,"*",9,0,12,12,"*"
"120",120,"UHA-0161",9,0.00079,4.99e-06,"UHA-0012",9,9,0,8.79,"UHA-0260",9,9,1,3.97,1.72,"+",9,1,7.8,7.24,"*"
"122",122,"UHA-0427",9,0.000257,5.26e-07,"UHA-0015",9,9,0,7.76,"UHA-0260",9,9,1,6.75,3.04,"+",9,1,8.74,8.74,"*"
"123",123,"UHA-0428",9,0.00024,5.66e-06,"UHA-0015",9,9,0,8.01,"UHA-0266",9,9,2,-1.25,0,"",9,2,0.125,0.125,"-"
"124",124,"UHA-0429",9,0.000214,9.13e-06,"UHA-0012",9,9,0,11.3,"UHA-0258",9,9,0,8.09,8.09,"*",9,0,12.3,12.3,"*"
"125",125,"UHA-0430",9,0.000221,1.14e-06,"UHA-0012",9,9,0,8.15,"UHA-0260",9,9,1,1.8,1.1,"-",9,1,5.21,5.21,"*"
"126",126,"UHA-0431",9,5.25e-05,6.37e-07,"UHA-0012",9,9,0,13.4,"UHA-0260",9,9,1,2.41,2.41,"+",9,1,5.84,5.84,"*"
"127",127,"UHA-0432",9,0.000528,2.09e-06,"UHA-0012",9,9,0,6.07,"UHA-0258",9,9,1,3.81,0,"",9,1,7.25,7.25,"*"
"128",128,"UHA-0433",9,0.00197,2.14e-05,"UHA-0012",9,9,0,5.89,"UHA-0258",9,9,1,2.4,1.31,"-",9,1,5.18,5.18,"*"
"131",131,"UHA-0436",9,0.000405,8.01e-06,"UHA-0010",9,9,0,9.52,"UHA-0259",9,9,1,3.34,0,"",9,1,6.77,6.77,"*"
"132",132,"UHA-0437",9,0.00052,0.000366,"UHA-0010",9,9,1,3.39,"UHA-0259",9,9,1,2.42,0,"",9,2,4.77,4.06,"*"
"133",133,"UHA-0438",9,0.000294,5.66e-05,"UHA-0010",9,9,1,1.6,"UHA-0259",9,9,2,-2.1,0,"",9,2,4.43,3.42,"*"
"134",134,"UHA-0439",9,6.56e-05,3e-05,"UHA-0010",9,9,1,3.84,"UHA-0260",9,9,0,10.8,10.8,"*",9,1,11.2,8.72,"*"
"135",135,"UHA-0440",9,0.00089,4.28e-06,"UHA-0260",9,9,0,8.61,"UHA-0351",9,9,1,3.73,0.939,"-",9,1,7.01,7.01,"*"
"136",136,"UHA-0441",9,0.000362,1.43e-06,"UHA-0260",9,9,0,6.88,"UHA-0261",9,9,0,12.5,9.12,"*",9,0,14.5,14.5,"*"
"137",137,"UHA-0442",9,0.000292,4.88e-06,"UHA-0260",9,9,0,10.7,"UHA-0261",9,9,1,4.2,1.49,"+",9,1,5.51,4.98,"*"
"138",138,"UHA-0443",9,0.00103,5.07e-05,"UHA-0260",9,9,1,3.58,"UHA-0257",9,9,0,7.28,7.28,"*",9,1,10.6,10.6,"*"
"139",139,"UHA-0444",9,0.00101,7.51e-06,"UHA-0260",9,9,1,1.26,"UHA-0257",9,9,0,9.45,9.45,"*",9,1,12.7,12.7,"*"
"140",140,"UHA-0445",9,0.000955,2.3e-05,"UHA-0260",9,9,0,5.56,"UHA-0257",9,9,0,7.79,7.24,"*",9,0,10.6,10.6,"*"
"142",142,"UHA-0447",9,0.00164,1.6e-05,"UHA-0260",9,9,0,7.6,"UHA-0257",9,9,0,7.31,7.31,"*",9,0,11,11,"*"
"143",143,"UHA-0448",9,0.0018,1.14e-05,"UHA-0260",9,9,0,7.99,"UHA-0257",9,9,0,7.27,7.08,"*",9,0,11.3,11.3,"*"
"144",144,"UHA-0449",9,0.000666,2.31e-05,"UHA-0260",9,9,0,9.28,"UHA-0257",9,9,0,7.11,7.11,"*",9,0,10.5,10.5,"*"
"145",145,"UHA-0450",9,0.000799,2.95e-06,"UHA-0260",9,9,0,6.08,"UHA-0257",9,9,0,8.24,8.24,"*",9,0,12.8,12.8,"*"
"146",146,"UHA-0451",9,0.00122,1.04e-05,"UHA-0260",9,9,1,1.11,"UHA-0257",9,9,0,9.12,9.12,"*",9,1,12.4,12.4,"*"
"147",147,"UHA-0452",9,0.00033,0.00014,"UHA-0260",9,9,1,3.93,"UHA-0257",9,9,0,7.39,7.39,"*",9,1,9.67,9.47,"*"
"148",148,"UHA-0453",9,0.00231,1.99e-06,"UHA-0260",9,9,0,3.51,"UHA-0257",9,9,0,9.46,9.3,"*",9,0,13.2,13.2,"*"
"149",149,"UHA-0454",9,0.000563,1.39e-05,"UHA-0257",9,9,0,7.05,"UHA-0260",9,9,0,7.87,6.8,"*",9,0,11.1,11.1,"*"
"150",150,"UHA-0455",9,0.000479,8.09e-07,"UHA-0257",9,9,0,6.76,"UHA-0260",9,9,1,5.02,5.02,"*",9,1,7.94,7.94,"*"
"151",151,"UHA-0456",9,0.00169,8.31e-05,"UHA-0257",9,9,0,7.63,"UHA-0260",9,9,0,5.58,5.58,"*",9,0,9.19,9.19,"*"
"152",152,"UHA-0457",9,6.5e-05,7.86e-06,"UHA-0257",9,9,0,9.16,"UHA-0258",9,9,1,5.33,5.33,"*",9,1,6.03,6.03,"*"
"153",153,"UHA-0458",9,0.00014,2.86e-06,"UHA-0257",9,9,0,8.12,"UHA-0258",9,9,1,5.33,5.33,"*",9,1,6.84,6.84,"*"
"154",154,"UHA-0459",9,0.000815,8.91e-06,"UHA-0257",9,9,0,8.4,"UHA-0258",9,9,1,4.89,4.89,"*",9,1,6.88,6.88,"*"
"155",155,"UHA-0460",9,0.00204,1.3e-06,"UHA-0257",9,9,0,5.88,"UHA-0260",9,9,0,9.45,9.45,"*",9,0,13.9,13.9,"*"
