rownames,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
1,UHA-0020,9,2.56E-05,2.68E-05,UHA-0261,9,9,3,-2.80E+00,UHA-0260,9,9,0,1.21E+01,1.11E+01,*,9,4,8.78E+00,8.78E+00,*
2,UHA-0021,9,6.47E-05,9.70E-05,UHA-0261,9,9,3,-2.30E+00,UHA-0260,9,9,0,9.49E+00,7.08E+00,*,9,4,7.73E+00,4.90E+00,*
3,UHA-0022,9,1.77E-04,4.08E-04,UHA-0261,9,9,2,2.72E+00,UHA-0257,9,9,2,-1.23E+00,0.00E+00,,9,3,1.50E+00,1.50E+00,+
4,UHA-0023,8,2.06E-03,8.09E-04,UHA-0261,9,8,2,-1.88E+00,UHA-0260,9,8,0,6.12E+00,2.54E+00,+,8,3,4.72E+00,1.08E+00,+
5,UHA-0024,9,4.31E-04,2.79E-04,UHA-0261,9,9,3,-2.25E+00,UHA-0420,9,9,3,-1.31E+00,0.00E+00,,9,4,2.96E+00,2.61E+00,*
6,UHA-0025,9,5.12E-05,5.00E-05,UHA-0261,9,9,2,3.91E+00,UHA-0258,9,9,4,-3.63E+00,0.00E+00,,9,4,3.63E-01,3.63E-01,+
7,UHA-0026,9,1.36E-03,3.42E-05,UHA-0261,9,9,1,4.73E+00,UHA-0351,9,9,1,5.06E+00,1.95E+00,+,9,3,3.56E+00,3.56E+00,*
8,UHA-0027,9,4.70E-04,5.24E-04,UHA-0261,9,9,2,1.90E+00,UHA-0257,9,9,2,-1.42E-01,0.00E+00,,9,2,6.07E+00,6.07E+00,*
9,UHA-0028,9,9.02E-04,7.02E-05,UHA-0261,9,9,2,2.38E-01,UHA-0257,9,9,1,1.53E+00,0.00E+00,,9,5,-1.42E+00,0.00E+00,
10,UHA-0029,9,5.19E-04,1.37E-04,UHA-0261,9,9,2,-4.61E-01,UHA-0257,9,9,0,5.83E+00,1.30E+00,+,9,4,3.04E+00,3.04E+00,*
11,UHA-0036,9,3.20E-04,9.37E-05,UHA-0261,9,9,2,-7.01E-01,UHA-0257,9,9,1,2.76E+00,0.00E+00,,9,4,2.17E+00,1.20E+00,+
12,UHA-0037,9,4.99E-04,6.92E-03,UHA-0261,9,9,3,-3.06E+00,UHA-0257,9,9,1,2.31E+00,0.00E+00,,9,3,5.25E+00,4.21E+00,*
13,UHA-0038,9,8.85E-04,3.34E-04,UHA-0261,9,9,2,3.28E-01,UHA-0351,9,9,0,8.06E+00,4.29E+00,*,9,3,6.10E+00,2.72E+00,*
14,UHA-0040,9,2.85E-03,7.50E-04,UHA-0261,9,9,2,4.67E-01,UHA-0351,9,9,0,6.57E+00,3.03E+00,*,9,3,5.24E+00,3.81E+00,*
15,UHA-0041,9,1.40E-04,2.31E-07,UHA-0261,9,9,1,4.41E+00,UHA-0260,9,9,0,1.13E+01,1.13E+01,*,9,2,1.21E+01,1.21E+01,*
16,UHA-0043,9,9.36E-04,3.41E-04,UHA-0260,9,9,0,8.04E+00,UHA-0261,9,9,2,-7.52E-01,0.00E+00,,9,2,-5.64E-01,0.00E+00,
17,UHA-0044,9,1.87E-05,6.49E-07,UHA-0260,9,9,0,1.14E+01,UHA-0512,9,9,2,3.09E+00,3.09E+00,*,9,4,-2.39E+00,0.00E+00,
18,UHA-0045,9,4.89E-04,3.36E-05,UHA-0260,9,9,2,-7.14E-01,UHA-0351,9,9,1,3.99E+00,2.97E+00,*,9,4,2.77E+00,2.77E+00,*
19,UHA-0046,9,6.95E-04,1.41E-04,UHA-0260,9,9,1,4.84E+00,UHA-0257,9,9,1,2.83E+00,0.00E+00,,9,1,7.89E+00,5.58E+00,*
20,UHA-0047,9,2.39E-03,1.42E-03,UHA-0260,9,9,1,5.98E+00,UHA-0351,9,9,1,2.27E+00,2.04E+00,+,9,2,3.09E+00,3.09E+00,*
21,UHA-0048,9,1.44E-03,2.29E-04,UHA-0260,9,9,1,2.32E+00,UHA-0257,9,9,1,2.51E+00,2.51E+00,+,9,1,7.36E+00,7.36E+00,*
22,UHA-0049,9,7.96E-04,8.89E-05,UHA-0260,9,9,3,-2.54E+00,UHA-0257,9,9,2,-1.18E+00,0.00E+00,,9,4,3.49E+00,3.49E+00,*
23,UHA-0050,9,1.84E-04,5.18E-06,UHA-0260,9,9,0,9.42E+00,UHA-0261,9,9,2,5.77E+00,3.46E+00,*,9,2,5.11E+00,2.98E+00,*
24,UHA-0051,9,3.56E-04,1.99E-05,UHA-0260,9,9,3,-3.66E+00,UHA-0257,9,9,1,2.49E+00,2.49E+00,+,9,6,6.34E-01,1.50E-01,+
25,UHA-0052,9,5.74E-04,1.57E-07,UHA-0260,9,9,1,3.58E+00,UHA-0259,9,9,1,4.11E+00,2.63E+00,+,9,4,6.67E-01,1.10E-01,+
26,UHA-0053,9,4.96E-04,1.43E-04,UHA-0260,9,9,2,5.71E-01,UHA-0351,9,9,0,9.68E+00,9.46E+00,*,9,2,1.08E+01,1.08E+01,*
27,UHA-0054,9,5.26E-04,2.39E-04,UHA-0260,9,9,2,9.85E-01,UHA-0351,9,9,1,5.18E+00,4.69E+00,*,9,3,5.50E+00,4.68E+00,*
28,UHA-0055,9,2.22E-04,1.99E-05,UHA-0260,9,9,3,-3.52E+00,UHA-0372,9,9,3,-3.02E+00,0.00E+00,,9,5,-4.44E-01,0.00E+00,
29,UHA-0056,8,1.64E-03,2.91E-04,UHA-0260,9,8,2,-1.83E+00,UHA-0258,9,8,3,-2.29E+00,0.00E+00,,8,3,2.87E+00,2.87E+00,*
30,UHA-0058,9,6.19E-04,6.42E-04,UHA-0260,9,9,2,2.18E+00,UHA-0351,9,9,0,8.28E+00,8.28E+00,*,9,2,9.28E+00,8.77E+00,*
31,UHA-0059,9,3.71E-04,1.99E-04,UHA-0260,9,9,3,-2.25E+00,UHA-0257,9,9,1,3.29E+00,8.70E-01,-,9,4,5.10E+00,5.10E+00,*
32,UHA-0068,9,1.78E-03,6.40E-05,UHA-0014,9,9,0,6.70E+00,UHA-0351,9,9,0,4.04E+00,0.00E+00,,9,1,4.31E+00,1.52E-01,+
33,UHA-0069,9,2.39E-03,6.54E-06,UHA-0014,9,9,0,5.08E+00,UHA-0266,9,9,1,6.01E+00,1.75E-05,-,9,1,7.46E+00,7.46E+00,*
34,UHA-0070,9,2.79E-03,4.75E-04,UHA-0014,9,9,0,9.25E+00,UHA-0262,9,9,0,1.03E+01,1.14E+00,+,9,0,1.02E+01,6.24E-01,+
35,UHA-0071,9,5.70E-04,9.93E-06,UHA-0014,9,9,0,7.01E+00,UHA-0266,9,9,1,5.02E+00,6.14E-01,-,9,1,6.85E+00,6.85E+00,*
36,UHA-0072,9,1.78E-03,1.84E-05,UHA-0014,9,9,0,5.97E+00,UHA-0266,9,9,0,7.64E+00,4.40E+00,*,9,0,1.09E+01,1.09E+01,*
37,UHA-0073,9,5.91E-04,5.95E-05,UHA-0014,9,9,0,9.30E+00,UHA-0267,9,9,0,1.03E+01,9.03E-01,+,9,1,7.20E+00,7.70E-01,+
38,UHA-0074,9,2.78E-03,3.63E-06,UHA-0014,9,9,0,3.54E+00,UHA-0256,9,9,2,8.20E-01,0.00E+00,,9,3,-6.47E-01,0.00E+00,
39,UHA-0075,9,4.28E-04,2.00E-05,UHA-0014,9,9,0,8.18E+00,UHA-0351,9,9,0,7.26E+00,2.93E+00,*,9,0,1.04E+01,1.04E+01,*
40,UHA-0076,9,1.14E-03,2.37E-05,UHA-0014,9,9,0,6.69E+00,UHA-0266,9,9,0,8.46E+00,2.24E+00,+,9,0,1.06E+01,1.06E+01,*
41,UHA-0077,9,1.29E-03,9.09E-05,UHA-0014,9,9,0,8.65E+00,UHA-0224,9,9,1,1.88E+00,0.00E+00,,9,1,4.27E+00,5.29E-01,+
42,UHA-0079,9,3.55E-05,3.55E-05,UHA-0014,9,9,0,1.05E+01,UHA-0267,9,9,0,1.00E+01,6.69E-01,-,9,0,1.05E+01,6.78E-01,+
43,UHA-0080,9,1.15E-04,8.40E-07,UHA-0014,9,9,0,7.69E+00,UHA-0265,9,9,0,1.11E+01,2.76E+00,+,9,0,1.39E+01,1.01E+01,*
44,UHA-0081,9,1.69E-03,7.17E-04,UHA-0014,9,9,0,9.96E+00,UHA-0013,9,9,0,8.08E+00,0.00E+00,,9,0,8.46E+00,6.73E-01,+
45,UHA-0088,9,3.00E-04,3.65E-05,UHA-0014,9,9,0,7.32E+00,UHA-0262,9,9,0,7.78E+00,4.74E+00,*,9,2,2.94E+00,1.92E+00,+
46,UHA-0089,9,1.03E-04,2.20E-06,UHA-0014,9,9,0,8.48E+00,UHA-0266,9,9,1,5.81E+00,0.00E+00,,9,1,8.37E+00,8.37E+00,*
47,UHA-0090,9,1.16E-03,2.84E-06,UHA-0014,9,9,0,5.20E+00,UHA-0266,9,9,0,9.73E+00,3.42E+00,*,9,0,1.29E+01,1.29E+01,*
48,UHA-0091,9,3.51E-04,5.20E-06,UHA-0014,9,9,0,7.08E+00,UHA-0266,9,9,1,5.34E+00,1.49E+00,+,9,1,7.44E+00,7.44E+00,*
49,UHA-0093,8,1.48E-03,1.59E-04,UHA-0015,9,8,0,6.20E+00,UHA-0265,9,8,0,7.27E+00,4.11E-01,-,8,0,8.55E+00,3.45E+00,*
50,UHA-0094,9,4.90E-04,6.00E-06,UHA-0015,9,9,0,8.29E+00,UHA-0266,9,9,1,4.98E+00,2.55E+00,+,9,1,8.00E+00,8.00E+00,*
51,UHA-0095,9,4.45E-04,4.37E-06,UHA-0015,9,9,0,6.29E+00,UHA-0266,9,9,0,9.13E+00,2.17E+00,+,9,0,1.25E+01,9.41E+00,*
52,UHA-0096,7,9.43E-03,3.25E-04,UHA-0015,9,7,0,3.31E+00,UHA-0266,9,7,0,5.13E+00,1.67E+00,+,7,0,7.09E+00,6.80E+00,*
53,UHA-0097,8,7.76E-04,2.77E-04,UHA-0015,9,8,1,3.82E+00,UHA-0266,9,8,0,8.00E+00,2.42E+00,+,8,1,9.81E+00,7.19E+00,*
54,UHA-0098,9,1.95E-03,8.89E-06,UHA-0257,9,9,1,1.98E+00,UHA-0260,9,9,1,4.89E+00,3.53E+00,*,9,1,1.03E+01,8.31E+00,*
55,UHA-0099,9,2.59E-04,2.85E-06,UHA-0257,9,9,0,7.11E+00,UHA-0258,9,9,3,-7.60E-01,0.00E+00,,9,3,-1.37E-01,0.00E+00,
56,UHA-0100,9,1.10E-04,1.65E-06,UHA-0257,9,9,0,8.57E+00,UHA-0256,9,9,3,-2.42E+00,0.00E+00,,9,3,-1.71E+00,0.00E+00,
57,UHA-0101,9,1.70E-03,2.89E-04,UHA-0257,9,9,2,-6.20E-01,UHA-0260,9,9,1,2.05E+00,2.05E+00,+,9,2,6.67E+00,6.67E+00,*
58,UHA-0102,9,1.93E-04,1.40E-06,UHA-0257,9,9,1,2.76E+00,UHA-0351,9,9,0,1.04E+01,9.15E+00,*,9,2,9.71E+00,9.29E+00,*
59,UHA-0103,9,8.23E-04,1.13E-04,UHA-0257,9,9,3,-4.74E+00,UHA-0260,9,9,2,-8.16E-01,0.00E+00,,9,4,3.51E+00,3.51E+00,*
60,UHA-0105,9,2.32E-04,6.83E-06,UHA-0257,9,9,0,9.48E+00,UHA-0258,9,9,3,-1.98E+00,0.00E+00,,9,3,-1.41E+00,0.00E+00,
61,UHA-0106,9,1.15E-03,1.06E-03,UHA-0257,9,9,2,2.87E-01,UHA-0260,9,9,1,1.72E+00,2.74E-01,-,9,2,5.84E+00,3.29E+00,*
62,UHA-0109,9,4.85E-04,2.54E-06,UHA-0257,9,9,1,2.44E+00,UHA-0261,9,9,1,4.54E+00,2.89E+00,*,9,3,4.88E+00,4.88E+00,*
63,UHA-0110,9,3.25E-04,1.62E-05,UHA-0257,9,9,0,8.53E+00,UHA-0351,9,9,2,-5.81E-01,0.00E+00,,9,3,-2.01E+00,0.00E+00,
64,UHA-0111,9,4.30E-04,1.40E-05,UHA-0257,9,9,0,9.37E+00,UHA-0351,9,9,1,2.63E+00,2.13E+00,+,9,1,5.81E+00,5.81E+00,*
65,UHA-0112,9,1.15E-04,1.53E-02,UHA-0257,9,9,5,-9.27E+00,UHA-0265,9,9,0,1.11E+01,2.76E+00,+,9,5,9.14E+00,3.08E+00,*
66,UHA-0113,9,1.33E-03,1.88E-04,UHA-0257,9,9,1,3.39E+00,UHA-0260,9,9,2,-1.45E+00,0.00E+00,,9,2,2.34E+00,1.73E+00,+
67,UHA-0114,9,2.69E-04,4.29E-06,UHA-0257,9,9,2,-2.28E-01,UHA-0260,9,9,3,-1.78E+00,0.00E+00,,9,4,2.70E+00,2.70E+00,*
68,UHA-0115,9,7.24E-04,3.00E-05,UHA-0351,9,9,0,7.60E+00,UHA-0303,9,9,3,-2.00E+00,0.00E+00,,9,3,-2.71E-01,0.00E+00,
69,UHA-0116,9,1.26E-04,1.06E-05,UHA-0351,9,9,1,4.27E+00,UHA-0260,9,9,1,5.66E+00,5.66E+00,*,9,2,7.79E+00,7.61E+00,*
70,UHA-0118,9,2.29E-04,2.44E-06,UHA-0351,9,9,0,8.73E+00,UHA-0260,9,9,1,3.85E+00,0.00E+00,,9,1,6.50E+00,1.09E+00,+
71,UHA-0119,9,5.15E-04,2.38E-05,UHA-0351,9,9,0,8.16E+00,UHA-0257,9,9,2,1.99E+00,9.17E-01,+,9,2,2.26E+00,2.26E+00,*
72,UHA-0120,9,9.50E-05,2.26E-06,UHA-0351,9,9,0,9.18E+00,UHA-0257,9,9,2,5.21E-01,5.21E-01,-,9,3,-8.32E-01,0.00E+00,
73,UHA-0121,9,1.33E-04,1.53E-05,UHA-0351,9,9,0,1.10E+01,UHA-0257,9,9,2,7.15E-02,7.15E-02,-,9,2,1.22E+00,1.22E+00,+
74,UHA-0122,9,4.32E-04,4.97E-05,UHA-0351,9,9,0,1.11E+01,UHA-0257,9,9,2,3.03E-01,0.00E+00,,9,2,1.43E+00,1.43E+00,+
75,UHA-0123,9,3.66E-04,5.50E-04,UHA-0010,9,9,1,3.93E+00,UHA-0258,9,9,2,1.60E+00,0.00E+00,,9,2,3.74E+00,1.09E+00,+
