rownames,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
76,UHA-0124,8,5.73E-03,4.21E-04,UHA-0010,9,8,0,5.03E+00,UHA-0258,9,8,1,2.18E+00,1.58E-01,-,8,1,4.07E+00,1.84E+00,+
77,UHA-0125,9,3.30E-04,3.08E-05,UHA-0010,9,9,1,3.74E+00,UHA-0016,8,8,2,-2.36E+00,0.00E+00,,8,3,-1.74E+00,0.00E+00,
78,UHA-0126,9,1.32E-04,1.29E-05,UHA-0010,9,9,1,4.16E+00,UHA-0266,9,9,2,4.77E-01,0.00E+00,,9,2,3.79E+00,2.11E+00,+
79,UHA-0127,8,1.20E-03,8.89E-04,UHA-0010,9,8,1,2.12E+00,UHA-0015,9,8,1,2.91E+00,0.00E+00,,8,2,2.36E+00,3.46E-02,+
80,UHA-0128,9,9.87E-04,2.56E-04,UHA-0010,9,9,2,-2.81E+00,UHA-0258,9,9,3,-1.78E+00,0.00E+00,,9,3,3.30E+00,2.05E-01,+
81,UHA-0129,8,5.42E-03,7.99E-05,UHA-0010,9,8,0,5.15E+00,UHA-0258,9,8,2,8.03E-01,0.00E+00,,8,2,1.97E+00,1.76E-01,+
82,UHA-0130,9,3.59E-04,5.05E-04,UHA-0010,9,9,1,4.69E+00,UHA-0016,8,8,1,9.32E-01,0.00E+00,,8,2,8.06E-01,5.02E-02,+
83,UHA-0131,9,1.87E-04,8.65E-06,UHA-0010,9,9,1,3.33E+00,UHA-0263,9,9,0,7.41E+00,4.11E+00,*,9,5,-2.42E+00,0.00E+00,
84,UHA-0132,9,2.50E-05,2.24E-06,UHA-0010,9,9,1,2.93E+00,UHA-0263,9,9,1,5.91E+00,4.15E+00,*,9,4,1.43E+00,1.43E+00,+
85,UHA-0133,9,4.15E-03,8.32E-04,UHA-0010,9,9,0,8.92E+00,UHA-0015,9,9,0,4.72E+00,0.00E+00,,9,0,6.99E+00,1.40E-02,+
86,UHA-0134,9,4.64E-04,6.45E-05,UHA-0010,9,9,1,3.95E+00,UHA-0258,9,9,2,2.38E-01,0.00E+00,,9,2,3.03E+00,1.66E+00,+
87,UHA-0135,9,1.36E-03,1.06E-04,UHA-0010,9,9,1,3.68E+00,UHA-0257,9,9,1,2.59E+00,1.77E+00,+,9,3,1.74E+00,1.74E+00,+
88,UHA-0136,9,6.42E-04,7.99E-05,UHA-0010,9,9,1,2.82E+00,UHA-0258,9,9,3,-1.52E+00,0.00E+00,,9,3,1.35E+00,1.76E-01,+
89,UHA-0137,9,8.61E-04,3.76E-04,UHA-0010,9,9,1,3.06E+00,UHA-0015,9,9,1,5.38E+00,0.00E+00,,9,2,3.72E+00,7.14E-01,+
90,UHA-0138,9,2.52E-04,5.80E-07,UHA-0010,9,9,0,7.07E+00,UHA-0293,9,9,2,1.90E+00,0.00E+00,,9,2,4.21E+00,2.51E-01,+
91,UHA-0139,9,1.68E-04,1.55E-05,UHA-0010,9,9,0,8.82E+00,UHA-0260,9,9,1,4.17E+00,4.17E+00,*,9,1,5.72E+00,5.72E+00,*
92,UHA-0140,9,7.07E-05,6.72E-06,UHA-0010,9,9,1,4.78E+00,UHA-0315,9,9,3,-3.57E+00,0.00E+00,,9,3,-2.51E-01,0.00E+00,
93,UHA-0141,9,1.78E-03,3.97E-05,UHA-0010,9,9,0,7.77E+00,UHA-0257,9,9,0,5.76E+00,1.36E+00,+,9,1,6.10E+00,6.10E+00,*
94,UHA-0142,9,4.96E-04,2.42E-06,UHA-0010,9,9,0,7.23E+00,UHA-0210,9,9,3,-9.68E-01,0.00E+00,,9,3,5.60E-01,5.60E-01,+
95,UHA-0143,9,3.32E-04,7.99E-05,UHA-0010,9,9,1,4.15E+00,UHA-0258,9,9,3,-1.89E+00,0.00E+00,,9,3,1.38E+00,1.65E-01,+
96,UHA-0144,9,6.31E-04,1.01E-05,UHA-0010,9,9,0,7.20E+00,UHA-0265,9,9,0,8.79E+00,5.93E+00,*,9,2,5.34E+00,5.34E+00,*
97,UHA-0146,9,2.22E-04,7.30E-06,UHA-0010,9,9,0,8.93E+00,UHA-0015,9,9,2,1.34E-01,0.00E+00,,9,2,6.62E-01,8.59E-02,+
98,UHA-0147,9,6.02E-04,3.09E-06,UHA-0010,9,9,0,6.64E+00,UHA-0269,9,9,1,2.90E+00,0.00E+00,,9,2,2.79E+00,2.16E+00,+
99,UHA-0148,9,3.70E-05,2.62E-06,UHA-0012,9,9,1,6.49E+00,UHA-0476,9,9,0,1.12E+01,1.12E+01,*,9,1,1.28E+01,1.28E+01,*
100,UHA-0150,9,3.62E-04,2.38E-06,UHA-0012,9,9,0,8.00E+00,UHA-0266,9,9,0,1.01E+01,8.58E+00,*,9,0,1.31E+01,1.31E+01,*
101,UHA-0151,9,4.40E-04,7.47E-05,UHA-0012,9,9,0,1.12E+01,UHA-0351,9,9,0,6.08E+00,5.46E+00,*,9,0,9.10E+00,9.10E+00,*
102,UHA-0152,9,8.23E-04,2.69E-06,UHA-0012,9,9,0,7.13E+00,UHA-0260,9,9,2,3.16E+00,0.00E+00,,9,3,1.80E+00,7.00E-01,+
103,UHA-0153,9,8.46E-05,4.95E-07,UHA-0012,9,9,0,1.06E+01,UHA-0259,9,9,2,-8.22E-01,0.00E+00,,9,3,-1.48E+00,0.00E+00,
104,UHA-0154,9,1.53E-04,1.63E-04,UHA-0012,9,9,1,4.09E+00,UHA-0257,9,9,2,-1.07E-01,0.00E+00,,9,2,3.87E+00,3.87E+00,*
105,UHA-0155,9,4.90E-04,3.02E-06,UHA-0012,9,9,0,8.78E+00,UHA-0257,9,9,3,-2.26E+00,0.00E+00,,9,3,-1.26E+00,0.00E+00,
106,UHA-0156,9,1.23E-04,2.95E-10,UHA-0012,9,9,1,2.78E+00,UHA-0361,7,7,4,-5.83E+00,0.00E+00,,7,4,-4.14E+00,0.00E+00,
107,UHA-0157,9,3.10E-04,9.60E-06,UHA-0012,9,9,0,9.13E+00,UHA-0257,9,9,1,4.04E+00,3.25E+00,*,9,1,7.20E+00,7.20E+00,*
108,UHA-0158,9,2.99E-04,1.58E-06,UHA-0012,9,9,0,7.20E+00,UHA-0339,9,9,3,4.32E-01,2.83E-01,-,9,3,1.55E+00,7.82E-01,+
109,UHA-0159,9,7.40E-04,1.69E-04,UHA-0012,9,9,1,3.44E+00,UHA-0260,9,9,1,2.36E+00,1.54E-01,-,9,2,3.73E+00,1.12E+00,+
110,UHA-0160,9,2.77E-04,4.47E-06,UHA-0012,9,9,0,1.06E+01,UHA-0257,9,9,3,-2.67E+00,0.00E+00,,9,3,-2.00E+00,0.00E+00,
111,UHA-0161,9,7.59E-04,5.73E-06,UHA-0012,9,9,0,8.46E+00,UHA-0011,9,9,1,3.72E+00,1.33E+00,+,9,2,3.44E+00,6.90E-01,+
112,UHA-0162,8,1.87E-03,5.67E-05,UHA-0012,9,8,0,6.59E+00,UHA-0177,8,8,0,8.06E+00,6.53E+00,*,8,0,1.13E+01,1.05E+01,*
113,UHA-0163,9,6.12E-04,1.82E-05,UHA-0012,9,9,0,1.05E+01,UHA-0257,9,9,1,2.73E+00,2.73E+00,+,9,1,6.02E+00,6.02E+00,*
114,UHA-0164,8,1.89E-03,2.36E-04,UHA-0016,8,7,0,7.87E+00,UHA-0264,9,8,0,1.03E+01,5.48E-01,-,8,1,5.67E+00,5.17E-01,+
115,UHA-0165,9,6.49E-04,4.23E-04,UHA-0016,8,8,1,2.06E+00,UHA-0266,9,9,1,4.38E+00,0.00E+00,,9,2,4.38E+00,3.63E+00,*
116,UHA-0166,9,6.14E-05,1.72E-08,UHA-0013,9,9,0,7.82E+00,UHA-0263,9,9,1,5.67E+00,1.37E+00,+,9,4,-1.21E+00,0.00E+00,
117,UHA-0167,9,9.03E-04,8.84E-06,UHA-0013,9,9,1,3.37E+00,UHA-0260,9,9,2,4.14E-01,0.00E+00,,9,3,1.64E+00,1.64E+00,+
118,UHA-0169,9,1.89E-03,9.81E-07,UHA-0013,9,9,0,4.18E+00,UHA-0269,9,9,0,1.06E+01,5.82E+00,*,9,0,1.40E+01,1.40E+01,*
119,UHA-0298,9,1.31E-03,1.31E-03,UHA-0351,9,9,0,1.26E+01,UHA-0264,9,9,1,-8.11E-01,0.00E+00,,9,1,5.21E-01,4.76E-01,+
120,UHA-0426,9,1.21E-03,1.54E-05,UHA-0009,9,9,0,8.01E+00,UHA-0258,9,9,2,-6.08E-01,0.00E+00,,9,2,2.21E-01,2.21E-01,+
121,UHA-0427,9,2.42E-04,6.98E-07,UHA-0015,9,9,0,7.63E+00,UHA-0259,9,9,2,-3.20E-01,0.00E+00,,9,3,9.06E-02,9.06E-02,+
122,UHA-0428,9,1.82E-04,3.90E-06,UHA-0015,9,9,0,7.87E+00,UHA-0266,9,9,2,1.88E+00,0.00E+00,,9,2,3.32E+00,3.32E+00,*
123,UHA-0429,9,2.03E-04,9.05E-06,UHA-0012,9,9,0,1.15E+01,UHA-0257,9,9,2,-7.24E-01,0.00E+00,,9,2,1.29E+00,2.95E-01,+
124,UHA-0430,9,2.29E-04,1.52E-06,UHA-0012,9,9,0,8.18E+00,UHA-0259,9,9,2,-8.22E-01,0.00E+00,,9,3,-1.43E+00,0.00E+00,
125,UHA-0431,9,5.83E-05,9.05E-07,UHA-0012,9,9,0,1.36E+01,UHA-0512,9,9,1,3.95E+00,2.59E+00,+,9,3,5.04E-02,5.04E-02,+
126,UHA-0432,9,4.67E-04,1.92E-06,UHA-0012,9,9,0,6.05E+00,UHA-0303,9,9,1,5.90E+00,6.46E-01,-,9,3,2.93E+00,2.93E+00,*
127,UHA-0433,9,1.78E-03,2.14E-05,UHA-0012,9,9,0,5.88E+00,UHA-0257,9,9,1,3.73E+00,9.72E-01,+,9,1,6.65E+00,6.65E+00,*
128,UHA-0434,9,2.94E-04,2.26E-08,UHA-0012,9,9,0,8.05E+00,UHA-0016,8,8,1,3.43E+00,0.00E+00,,8,3,-1.04E+00,0.00E+00,
129,UHA-0435,9,6.16E-05,9.68E-07,UHA-0010,9,9,1,2.84E+00,UHA-0265,9,9,3,-1.76E+00,0.00E+00,,9,4,-2.00E+00,0.00E+00,
130,UHA-0436,9,3.79E-04,7.45E-06,UHA-0010,9,9,0,9.07E+00,UHA-0259,9,9,2,6.54E-01,0.00E+00,,9,3,-2.39E-01,0.00E+00,
131,UHA-0437,9,5.10E-04,3.65E-04,UHA-0010,9,9,1,4.43E+00,UHA-0258,9,9,2,7.77E-01,0.00E+00,,9,2,4.03E+00,6.69E-02,+
132,UHA-0438,9,2.53E-04,4.51E-05,UHA-0010,9,9,1,2.94E+00,UHA-0331,7,7,2,-7.53E-01,0.00E+00,,7,2,2.57E+00,1.99E+00,+
133,UHA-0439,9,7.77E-05,3.69E-05,UHA-0010,9,9,1,5.06E+00,UHA-0260,9,9,1,5.31E+00,4.01E+00,*,9,2,5.01E+00,4.31E+00,*
134,UHA-0440,9,1.06E-03,1.15E-06,UHA-0260,9,9,1,1.21E+00,UHA-0351,9,9,1,5.08E+00,1.18E+00,+,9,3,5.71E+00,5.71E+00,*
135,UHA-0441,9,3.92E-04,1.69E-05,UHA-0260,9,9,0,8.20E+00,UHA-0261,9,9,1,7.17E+00,2.72E+00,+,9,1,7.87E+00,2.61E+00,*
136,UHA-0442,9,4.14E-04,2.68E-05,UHA-0260,9,9,0,1.07E+01,UHA-0010,9,9,1,3.82E+00,3.09E+00,*,9,2,1.68E+00,5.03E-01,+
137,UHA-0443,9,1.19E-03,2.01E-05,UHA-0260,9,9,2,-1.58E+00,UHA-0257,9,9,2,-7.15E-01,0.00E+00,,9,3,4.61E+00,4.61E+00,*
138,UHA-0444,9,9.93E-04,3.65E-05,UHA-0260,9,9,3,-5.75E+00,UHA-0257,9,9,2,1.63E-01,0.00E+00,,9,4,4.41E+00,4.41E+00,*
139,UHA-0445,9,9.77E-04,6.15E-04,UHA-0260,9,9,2,-1.57E+00,UHA-0257,9,9,1,3.82E+00,1.83E+00,+,9,2,7.21E+00,7.21E+00,*
140,UHA-0446,9,4.14E-04,2.28E-04,UHA-0260,9,9,2,2.21E+00,UHA-0263,9,9,2,3.63E-01,0.00E+00,,9,3,3.49E+00,6.18E-01,+
141,UHA-0447,9,1.15E-03,5.76E-04,UHA-0260,9,9,2,6.48E-01,UHA-0512,9,9,3,1.72E+00,1.72E+00,+,9,3,3.80E+00,8.38E-01,+
142,UHA-0448,9,1.88E-03,5.66E-05,UHA-0260,9,9,1,3.41E+00,UHA-0257,9,9,2,-9.40E-02,0.00E+00,,9,2,4.70E+00,4.70E+00,*
143,UHA-0449,9,8.33E-04,6.21E-04,UHA-0260,9,9,2,1.39E+00,UHA-0257,9,9,1,3.20E+00,3.20E+00,*,9,2,7.19E+00,7.19E+00,*
144,UHA-0450,9,9.60E-04,1.69E-05,UHA-0260,9,9,1,1.81E+00,UHA-0257,9,9,3,-2.64E+00,0.00E+00,,9,3,1.27E+00,1.27E+00,+
145,UHA-0451,9,1.34E-03,4.87E-05,UHA-0260,9,9,3,-6.12E+00,UHA-0257,9,9,2,-1.26E-01,0.00E+00,,9,4,4.11E+00,4.11E+00,*
146,UHA-0452,9,3.25E-04,2.41E-04,UHA-0260,9,9,3,-4.44E+00,UHA-0257,9,9,1,3.70E+00,1.88E+00,+,9,4,4.93E+00,4.93E+00,*
147,UHA-0453,9,2.28E-03,1.26E-04,UHA-0260,9,9,2,-2.88E+00,UHA-0257,9,9,2,7.51E-01,0.00E+00,,9,3,4.29E+00,4.29E+00,*
148,UHA-0454,9,6.97E-04,1.51E-04,UHA-0257,9,9,1,3.25E+00,UHA-0260,9,9,2,-3.69E-01,0.00E+00,,9,2,3.45E+00,3.45E+00,*
149,UHA-0455,9,5.10E-04,6.43E-06,UHA-0257,9,9,1,2.89E+00,UHA-0260,9,9,2,-5.45E-01,0.00E+00,,9,3,2.15E+00,2.15E+00,+
150,UHA-0456,9,1.94E-03,8.89E-04,UHA-0257,9,9,2,2.44E-01,UHA-0260,9,9,2,-1.80E+00,0.00E+00,,9,3,1.76E+00,1.76E+00,+
151,UHA-0457,9,7.11E-05,5.31E-06,UHA-0257,9,9,0,8.13E+00,UHA-0521,9,9,3,-5.96E-01,0.00E+00,,9,4,-2.67E+00,0.00E+00,
152,UHA-0458,9,1.48E-04,1.71E-06,UHA-0257,9,9,0,7.06E+00,UHA-0351,9,9,3,-1.26E+00,0.00E+00,,9,3,-1.24E+00,0.00E+00,
153,UHA-0459,9,7.70E-04,3.62E-05,UHA-0257,9,9,0,9.82E+00,UHA-0351,9,9,2,3.01E-01,3.01E-01,-,9,2,1.84E+00,1.84E+00,+
154,UHA-0460,9,2.01E-03,2.46E-05,UHA-0257,9,9,2,-1.23E+00,UHA-0260,9,9,1,4.22E+00,3.57E+00,*,9,2,9.42E+00,9.42E+00,*
