Offspring_ID,Loci_typed,First_parent_non-exclusion_probability,Second_parent_non-exclusion_probability,Mother_ID,Loci_typed,Pair_loci_compared,Pair_loci_mismatching,Pair_LOD_score,Candidate_father_ID,Loci_typed,Pair_loci_compared,Pair_loci_mismatching,Pair_LOD_score,Pair_Delta,Pair_confidence,Trio_loci_compared,Trio_loci_mismatching,Trio_LOD_score,Trio_Delta,Trio_confidence
UHA-0124,12,1.71E-03,1.28E-04,UHA-0010,12,11,0,5.70E+00,UHA-0258,12,11,1,5.12E+00,2.10E-01,-,11,1,6.43E+00,3.33E+00,*
UHA-0125,13,1.09E-04,1.34E-05,UHA-0010,12,12,1,5.08E+00,UHA-0224,13,13,2,1.88E+00,0.00E+00,,13,5,-5.53E-01,0.00E+00,
UHA-0126,13,3.88E-05,3.78E-06,UHA-0010,12,12,1,5.33E+00,UHA-0266,12,12,2,2.89E+00,0.00E+00,,12,2,5.64E+00,9.90E-01,+
UHA-0127,11,1.43E-04,1.29E-04,UHA-0010,12,10,1,4.09E+00,UHA-0258,12,11,3,2.69E+00,0.00E+00,,11,3,3.41E+00,7.04E-02,-
UHA-0128,13,1.34E-04,4.27E-05,UHA-0010,12,12,2,2.34E-01,UHA-0258,12,12,3,2.83E+00,0.00E+00,,12,3,6.73E+00,5.43E+00,*
UHA-0129,12,2.09E-03,3.67E-05,UHA-0010,12,11,0,6.36E+00,UHA-0258,12,11,2,4.08E+00,0.00E+00,,11,2,4.65E+00,2.99E+00,*
UHA-0130,13,1.20E-04,1.73E-04,UHA-0010,12,12,1,6.41E+00,UHA-0258,12,12,3,2.34E+00,0.00E+00,,12,3,3.26E+00,2.78E-01,+
UHA-0131,13,5.63E-05,3.33E-06,UHA-0010,12,12,1,4.65E+00,UHA-0263,13,13,0,8.95E+00,3.40E+00,*,13,5,1.45E+00,1.45E+00,+
UHA-0132,13,8.24E-06,7.54E-07,UHA-0010,12,12,1,4.84E+00,UHA-0263,13,13,1,8.03E+00,4.15E+00,*,13,4,5.03E+00,3.33E+00,*
UHA-0133,13,1.09E-03,2.18E-04,UHA-0010,12,12,0,8.81E+00,UHA-0011,13,13,1,3.60E+00,0.00E+00,,13,1,6.24E+00,1.40E+00,+
UHA-0134,12,5.12E-05,6.75E-06,UHA-0010,12,11,1,5.90E+00,UHA-0258,12,12,2,4.47E+00,0.00E+00,,12,2,6.76E+00,2.59E+00,*
UHA-0135,13,6.63E-04,5.42E-05,UHA-0010,12,12,1,4.84E+00,UHA-0257,13,13,1,4.78E+00,4.78E+00,*,13,3,4.25E+00,4.25E+00,*
UHA-0136,13,2.34E-04,3.67E-05,UHA-0010,12,12,1,4.70E+00,UHA-0258,12,12,3,2.42E+00,0.00E+00,,12,3,4.10E+00,1.55E+00,+
UHA-0137,12,5.10E-04,2.52E-04,UHA-0010,12,12,1,5.02E+00,UHA-0015,13,12,1,6.90E+00,0.00E+00,,12,2,5.10E+00,7.34E-01,+
UHA-0138,13,3.24E-05,8.12E-12,UHA-0010,12,12,0,6.02E+00,UHA-0293,12,12,3,3.13E+00,0.00E+00,,12,3,5.58E+00,3.73E+00,*
UHA-0139,13,4.83E-05,4.51E-06,UHA-0010,12,12,0,9.38E+00,UHA-0260,13,13,1,7.00E+00,5.65E+00,*,13,1,8.40E+00,8.40E+00,*
UHA-0140,13,2.42E-05,2.00E-06,UHA-0010,12,12,1,5.89E+00,UHA-0266,12,12,4,-8.67E-01,0.00E+00,,12,4,1.34E-01,1.34E-01,-
UHA-0141,13,4.05E-04,1.06E-06,UHA-0010,12,12,0,7.21E+00,UHA-0257,13,13,0,6.26E+00,3.01E+00,*,13,2,6.53E+00,5.85E+00,*
UHA-0142,13,6.10E-05,8.00E-08,UHA-0010,12,12,0,7.53E+00,UHA-0210,12,12,4,-3.12E-01,0.00E+00,,12,4,1.24E+00,1.24E+00,+
UHA-0143,13,1.14E-04,3.46E-05,UHA-0010,12,12,1,5.36E+00,UHA-0258,12,12,3,2.02E+00,0.00E+00,,12,3,4.16E+00,2.76E+00,*
UHA-0144,13,7.73E-05,1.54E-06,UHA-0010,12,12,0,8.86E+00,UHA-0265,13,13,1,9.04E+00,2.86E+00,+,13,3,5.76E+00,1.17E+00,+
UHA-0146,13,2.38E-05,9.94E-07,UHA-0010,12,12,0,9.88E+00,UHA-0260,13,13,3,2.27E+00,1.79E+00,+,13,4,-5.04E-01,0.00E+00,
UHA-0147,12,6.67E-05,3.32E-07,UHA-0010,12,11,0,7.94E+00,UHA-0259,12,11,0,7.64E+00,5.82E+00,*,11,3,3.90E+00,9.82E-01,+
UHA-0148,13,1.43E-05,3.71E-07,UHA-0012,13,13,1,8.39E+00,UHA-0476,13,13,0,1.27E+01,1.12E+01,*,13,1,1.49E+01,1.49E+01,*
UHA-0150,13,1.12E-04,6.85E-07,UHA-0012,13,13,0,9.90E+00,UHA-0266,12,12,0,1.10E+01,1.00E+01,*,12,0,1.41E+01,1.41E+01,*
UHA-0151,13,1.19E-04,2.00E-05,UHA-0012,13,13,0,1.30E+01,UHA-0351,13,13,1,4.90E+00,4.90E+00,*,13,1,7.61E+00,7.61E+00,*
UHA-0152,13,2.11E-04,5.43E-07,UHA-0012,13,13,0,8.95E+00,UHA-0260,13,13,2,6.02E+00,6.15E-01,-,13,3,5.40E+00,2.71E+00,*
UHA-0153,13,2.02E-05,9.73E-08,UHA-0012,13,13,0,1.25E+01,UHA-0259,12,12,2,1.16E+00,1.16E+00,+,12,3,1.13E+00,1.13E+00,+
UHA-0154,13,5.51E-05,1.67E-05,UHA-0012,13,13,1,6.03E+00,UHA-0257,13,13,2,2.65E+00,0.00E+00,,13,2,6.37E+00,6.37E+00,*
UHA-0155,13,1.77E-04,3.89E-07,UHA-0012,13,13,0,9.96E+00,UHA-0257,13,13,3,9.89E-01,0.00E+00,,13,3,2.40E+00,1.73E+00,+
UHA-0156,13,3.94E-05,1.19E-10,UHA-0012,13,13,1,5.39E+00,UHA-0263,13,13,1,3.40E+00,3.38E-01,-,13,6,-4.54E+00,0.00E+00,
UHA-0157,13,1.14E-04,1.19E-06,UHA-0012,13,13,0,1.03E+01,UHA-0257,13,13,1,5.98E+00,2.65E+00,+,13,1,9.55E+00,9.55E+00,*
UHA-0158,13,1.17E-04,8.60E-08,UHA-0012,13,13,0,8.00E+00,UHA-0267,13,13,3,1.31E+00,0.00E+00,,13,4,7.99E-01,6.16E-01,+
UHA-0159,13,2.45E-04,1.69E-05,UHA-0012,13,13,1,5.50E+00,UHA-0260,13,13,1,5.20E+00,9.24E-01,-,13,2,6.99E+00,2.59E+00,*
UHA-0160,13,1.31E-04,1.42E-07,UHA-0012,13,13,0,1.12E+01,UHA-0256,11,11,2,2.09E+00,3.99E-01,-,11,4,9.48E-01,9.48E-01,+
UHA-0161,13,1.89E-04,1.11E-06,UHA-0012,13,13,0,1.03E+01,UHA-0011,13,13,2,4.10E+00,0.00E+00,,13,3,4.37E+00,3.83E-02,-
UHA-0162,12,1.01E-03,2.41E-07,UHA-0012,13,12,0,6.67E+00,UHA-0177,12,12,0,1.19E+01,8.99E+00,*,12,0,1.70E+01,1.17E+01,*
UHA-0163,13,2.06E-04,2.12E-06,UHA-0012,13,13,0,1.18E+01,UHA-0257,13,13,1,4.84E+00,4.84E+00,*,13,1,8.56E+00,8.56E+00,*
UHA-0164,11,5.69E-04,7.79E-05,UHA-0016,11,9,0,8.64E+00,UHA-0264,13,11,0,1.19E+01,4.83E-01,-,11,1,8.03E+00,1.12E+00,+
UHA-0165,13,6.30E-05,4.57E-05,UHA-0016,11,11,1,4.95E+00,UHA-0266,12,12,1,6.12E+00,0.00E+00,,12,2,6.29E+00,7.92E-01,+
UHA-0166,13,3.40E-06,8.69E-09,UHA-0013,13,13,1,7.81E+00,UHA-0263,13,13,2,5.79E+00,1.86E+00,+,13,5,1.41E+00,1.41E+00,+
UHA-0167,12,2.82E-04,9.11E-07,UHA-0013,13,12,1,5.40E+00,UHA-0260,13,12,2,3.81E+00,0.00E+00,,12,3,5.32E+00,4.51E+00,*
UHA-0169,13,6.55E-04,4.11E-09,UHA-0013,13,13,0,6.17E+00,UHA-0269,13,13,0,1.38E+01,7.66E+00,*,13,0,1.82E+01,1.82E+01,*
UHA-0298,13,4.14E-04,7.37E-04,UHA-0351,13,13,1,1.17E+01,UHA-0264,13,13,2,-3.17E-01,0.00E+00,,13,3,8.47E-01,3.24E-01,+
UHA-0426,13,4.01E-04,1.59E-06,UHA-0009,13,13,0,9.22E+00,UHA-0258,12,12,2,3.02E+00,0.00E+00,,12,2,4.49E+00,3.27E+00,*
UHA-0427,13,6.11E-05,2.54E-07,UHA-0015,13,13,1,7.71E+00,UHA-0259,12,12,2,1.05E+00,0.00E+00,,12,3,2.52E+00,1.89E+00,+
UHA-0428,13,2.56E-05,3.57E-07,UHA-0015,13,13,1,7.70E+00,UHA-0266,12,12,2,4.72E+00,0.00E+00,,12,3,6.23E+00,4.02E+00,*
UHA-0429,13,6.87E-05,3.33E-06,UHA-0012,13,13,0,1.31E+01,UHA-0257,13,13,2,1.17E+00,0.00E+00,,13,2,3.27E+00,1.08E+00,+
UHA-0430,13,5.84E-05,3.10E-07,UHA-0012,13,13,0,1.01E+01,UHA-0259,12,12,2,1.16E+00,0.00E+00,,12,3,1.14E+00,1.14E+00,+
UHA-0431,13,1.72E-05,8.01E-08,UHA-0012,13,13,0,1.47E+01,UHA-0512,12,12,1,5.48E+00,3.68E+00,*,12,3,2.89E+00,1.29E+00,+
UHA-0432,12,1.72E-04,7.03E-07,UHA-0012,13,12,0,7.70E+00,UHA-0303,13,12,2,4.77E+00,2.72E+00,+,12,4,2.91E+00,2.13E+00,+
UHA-0433,13,6.36E-04,2.67E-06,UHA-0012,13,13,0,7.18E+00,UHA-0257,13,13,1,5.68E+00,9.75E-01,-,13,1,8.96E+00,8.59E+00,*
UHA-0434,13,3.85E-05,3.02E-09,UHA-0012,13,13,1,7.40E+00,UHA-0016,11,11,1,5.80E+00,0.00E+00,,11,5,9.98E-01,3.22E-01,+
UHA-0435,13,6.28E-06,1.46E-07,UHA-0010,12,12,1,4.61E+00,UHA-0258,12,12,3,4.73E+00,1.02E+00,-,12,5,1.98E+00,6.24E-01,+
UHA-0436,13,1.19E-04,2.11E-06,UHA-0010,12,12,0,1.02E+01,UHA-0259,12,12,2,2.78E+00,0.00E+00,,12,3,2.66E+00,8.98E-01,+
UHA-0437,13,1.38E-04,1.06E-04,UHA-0010,12,12,1,5.72E+00,UHA-0258,12,12,2,4.35E+00,0.00E+00,,12,2,6.47E+00,1.62E+00,+
UHA-0438,13,3.33E-05,6.44E-06,UHA-0010,12,12,1,4.51E+00,UHA-0258,12,12,4,-5.85E-01,0.00E+00,,12,4,2.17E+00,3.53E-01,+
UHA-0439,13,2.10E-05,9.40E-06,UHA-0010,12,12,1,6.38E+00,UHA-0260,13,13,1,7.48E+00,4.44E+00,*,13,2,7.15E+00,4.13E+00,*
UHA-0440,13,2.74E-04,1.25E-08,UHA-0260,13,13,1,3.03E+00,UHA-0351,13,13,1,9.63E+00,4.99E+00,*,13,3,1.14E+01,1.14E+01,*
UHA-0441,13,1.03E-04,4.43E-06,UHA-0260,13,13,0,1.05E+01,UHA-0261,13,13,1,8.73E+00,3.05E+00,*,13,1,9.88E+00,3.51E+00,*
UHA-0442,13,9.27E-05,5.64E-06,UHA-0260,13,13,0,1.21E+01,UHA-0261,13,13,2,3.74E+00,0.00E+00,,13,2,4.29E+00,6.66E-01,+
UHA-0443,13,5.35E-04,5.45E-06,UHA-0260,13,13,2,1.40E+00,UHA-0257,13,13,2,2.19E+00,1.88E+00,+,13,3,6.60E+00,5.77E+00,*
UHA-0444,13,2.59E-04,1.27E-06,UHA-0260,13,13,3,-2.48E+00,UHA-0257,13,13,2,1.78E+00,0.00E+00,,13,5,4.65E+00,1.60E+00,+
UHA-0445,13,9.39E-05,7.39E-05,UHA-0260,13,13,2,2.44E+00,UHA-0257,13,13,1,6.16E+00,3.94E+00,*,13,2,9.04E+00,5.46E+00,*
UHA-0446,13,1.19E-04,6.44E-05,UHA-0260,13,13,2,5.77E+00,UHA-0263,13,13,2,2.70E+00,0.00E+00,,13,3,5.57E+00,1.58E+00,+
UHA-0447,13,4.66E-04,1.77E-05,UHA-0260,13,13,2,2.44E+00,UHA-0512,12,12,3,4.50E+00,2.81E+00,+,12,3,5.52E+00,2.05E+00,+
UHA-0448,13,4.70E-04,1.94E-06,UHA-0260,13,13,1,5.23E+00,UHA-0257,13,13,2,1.54E+00,0.00E+00,,13,3,5.00E+00,4.73E+00,*
UHA-0449,13,7.34E-05,1.33E-04,UHA-0260,13,13,3,2.59E+00,UHA-0257,13,13,1,5.80E+00,4.52E+00,*,13,3,8.99E+00,6.91E+00,*
UHA-0450,13,2.69E-04,6.45E-07,UHA-0260,13,13,1,3.53E+00,UHA-0268,13,13,3,2.28E+00,1.90E+00,+,13,4,3.61E+00,1.38E+00,+
UHA-0451,13,3.77E-04,1.78E-06,UHA-0260,13,13,3,-2.92E+00,UHA-0257,13,13,2,1.46E+00,7.12E-01,-,13,5,4.29E+00,4.29E+00,*
UHA-0452,13,3.49E-05,1.35E-05,UHA-0260,13,13,4,-2.97E+00,UHA-0257,13,13,1,5.70E+00,4.22E+00,*,13,6,4.92E+00,4.92E+00,*
UHA-0453,13,6.03E-04,4.63E-06,UHA-0260,13,13,2,-3.08E-01,UHA-0268,13,13,3,2.28E+00,0.00E+00,,13,4,4.79E+00,2.49E-01,+
UHA-0454,13,1.12E-04,2.38E-05,UHA-0257,13,13,1,5.80E+00,UHA-0260,13,13,2,2.85E+00,0.00E+00,,13,2,6.22E+00,6.22E+00,*
UHA-0455,13,5.23E-05,5.64E-07,UHA-0257,13,13,1,5.41E+00,UHA-0260,13,13,2,3.48E+00,1.77E+00,+,13,3,6.15E+00,6.15E+00,*
UHA-0456,13,5.27E-04,2.89E-05,UHA-0257,13,13,2,1.77E+00,UHA-0260,13,13,2,6.49E-01,1.99E-01,-,13,4,2.92E+00,2.06E+00,+
UHA-0457,13,3.46E-05,2.48E-07,UHA-0257,13,13,0,8.26E+00,UHA-0256,11,11,3,8.62E-01,8.62E-01,-,11,4,8.58E-02,8.58E-02,-
UHA-0458,13,4.37E-05,4.54E-08,UHA-0257,13,13,0,7.16E+00,UHA-0256,11,11,3,8.62E-01,8.62E-01,-,11,4,2.37E-01,2.37E-01,+
UHA-0459,13,3.64E-04,1.64E-05,UHA-0257,13,13,0,1.11E+01,UHA-0351,13,13,3,1.15E+00,0.00E+00,,13,3,2.27E+00,4.79E-01,+
UHA-0460,13,9.12E-04,9.85E-06,UHA-0257,13,13,2,1.65E+00,UHA-0260,13,13,1,6.52E+00,5.46E+00,*,13,2,1.08E+01,9.20E+00,*
